trial=0
,min,max,avg
gen=38,88.000000,90.000000,88.880000
gen=39,89.000000,90.000000,89.040000
gen=40,89.000000,90.000000,89.060000
gen=41,89.000000,90.000000,89.080000
gen=42,89.000000,90.000000,89.180000
gen=43,89.000000,90.000000,89.340000
gen=44,89.000000,91.000000,89.660000
gen=45,89.000000,91.000000,89.880000
gen=46,89.000000,91.000000,89.920000
gen=47,89.000000,91.000000,90.160000
gen=48,90.000000,91.000000,90.300000
gen=49,90.000000,91.000000,90.520000
gen=50,90.000000,91.000000,90.820000
gen=51,91.000000,91.000000,91.000000
gen=52,91.000000,91.000000,91.000000
gen=53,91.000000,91.000000,91.000000
gen=54,91.000000,91.000000,91.000000
gen=55,91.000000,91.000000,91.000000
gen=56,91.000000,91.000000,91.000000
gen=57,91.000000,91.000000,91.000000
gen=58,91.000000,91.000000,91.000000
gen=59,91.000000,91.000000,91.000000
gen=60,91.000000,91.000000,91.000000
gen=61,91.000000,91.000000,91.000000
gen=62,91.000000,91.000000,91.000000
gen=63,91.000000,91.000000,91.000000
gen=64,91.000000,91.000000,91.000000
gen=65,91.000000,91.000000,91.000000
gen=66,91.000000,91.000000,91.000000
gen=67,91.000000,91.000000,91.000000
gen=68,91.000000,91.000000,91.000000
gen=69,91.000000,91.000000,91.000000
gen=70,91.000000,91.000000,91.000000
gen=71,91.000000,91.000000,91.000000
gen=72,91.000000,91.000000,91.000000
gen=73,91.000000,91.000000,91.000000
gen=74,91.000000,91.000000,91.000000
gen=75,91.000000,91.000000,91.000000
gen=76,91.000000,91.000000,91.000000
gen=77,91.000000,91.000000,91.000000
gen=78,91.000000,91.000000,91.000000
gen=79,91.000000,91.000000,91.000000
gen=80,91.000000,91.000000,91.000000
gen=81,91.000000,91.000000,91.000000
gen=82,91.000000,91.000000,91.000000
gen=83,91.000000,91.000000,91.000000
gen=84,91.000000,91.000000,91.000000
gen=85,91.000000,91.000000,91.000000
gen=86,91.000000,91.000000,91.000000
gen=87,91.000000,91.000000,91.000000
gen=88,91.000000,91.000000,91.000000
gen=89,91.000000,91.000000,91.000000
gen=90,91.000000,91.000000,91.000000
gen=91,91.000000,91.000000,91.000000
gen=92,91.000000,91.000000,91.000000
gen=93,91.000000,91.000000,91.000000
gen=94,91.000000,91.000000,91.000000
gen=95,91.000000,91.000000,91.000000
gen=96,91.000000,91.000000,91.000000
gen=97,91.000000,91.000000,91.000000
gen=98,91.000000,91.000000,91.000000
gen=99,91.000000,91.000000,91.000000
trial=6
,min,max,avg
gen=0,45.000000,63.000000,52.600000
gen=1,46.000000,63.000000,54.540000
gen=2,48.000000,65.000000,56.380000
gen=3,49.000000,65.000000,57.600000
gen=4,50.000000,65.000000,58.220000
gen=5,55.000000,65.000000,60.460000
gen=6,56.000000,67.000000,61.340000
gen=7,58.000000,69.000000,63.180000
gen=8,60.000000,69.000000,65.140000
gen=9,63.000000,70.000000,66.660000
gen=10,64.000000,71.000000,67.340000
gen=11,64.000000,72.000000,68.180000
gen=12,65.000000,73.000000,69.120000
gen=13,67.000000,74.000000,70.060000
gen=14,68.000000,74.000000,71.000000
gen=15,68.000000,74.000000,72.080000
gen=16,68.000000,74.000000,72.520000
gen=17,69.000000,75.000000,73.320000
gen=18,71.000000,77.000000,74.160000
gen=19,72.000000,77.000000,74.900000
gen=20,74.000000,78.000000,75.740000
gen=21,75.000000,78.000000,76.540000
gen=22,75.000000,79.000000,76.840000
gen=23,76.000000,79.000000,77.360000
gen=24,76.000000,79.000000,77.800000
gen=25,77.000000,80.000000,78.540000
gen=26,78.000000,81.000000,79.180000
gen=27,78.000000,82.000000,79.740000
gen=28,79.000000,82.000000,80.340000
gen=29,79.000000,82.000000,80.760000
gen=30,80.000000,83.000000,81.380000
gen=31,81.000000,83.000000,81.780000
gen=32,81.000000,84.000000,82.160000
gen=33,81.000000,84.000000,82.460000
gen=34,82.000000,84.000000,82.980000
gen=35,82.000000,85.000000,83.340000
gen=36,83.000000,85.000000,83.680000
gen=37,83.000000,85.000000,84.080000
gen=38,83.000000,85.000000,84.460000
gen=39,84.000000,86.000000,84.760000
gen=40,84.000000,86.000000,85.000000
gen=41,84.000000,86.000000,85.200000
gen=42,84.000000,87.000000,85.540000
gen=43,84.000000,87.000000,85.800000
gen=44,85.000000,87.000000,86.180000
gen=45,85.000000,88.000000,86.280000
gen=46,86.000000,88.000000,86.380000
gen=47,86.000000,88.000000,86.520000
gen=48,86.000000,88.000000,86.700000
gen=49,86.000000,88.000000,87.160000
gen=50,87.000000,88.000000,87.440000
gen=51,87.000000,89.000000,87.780000
gen=52,88.000000,89.000000,88.160000
gen=53,88.000000,89.000000,88.380000
gen=54,88.000000,89.000000,88.540000
gen=55,88.000000,89.000000,88.840000
gen=56,88.000000,89.000000,88.980000
gen=57,89.000000,89.000000,89.000000
gen=58,89.000000,89.000000,89.000000
gen=59,89.000000,89.000000,89.000000
gen=60,89.000000,89.000000,89.000000
gen=61,89.000000,89.000000,89.000000
gen=62,89.000000,89.000000,89.000000
gen=63,89.000000,89.000000,89.000000
gen=64,89.000000,89.000000,89.000000
gen=65,89.000000,89.000000,89.000000
gen=66,89.000000,89.000000,89.000000
gen=67,89.000000,89.000000,89.000000
gen=68,89.000000,89.000000,89.000000
gen=69,89.000000,89.000000,89.000000
gen=70,89.000000,89.000000,89.000000
gen=71,89.000000,89.000000,89.000000
gen=72,89.000000,89.000000,89.000000
gen=73,89.000000,89.000000,89.000000
gen=74,89.000000,89.000000,89.000000
gen=75,89.000000,89.000000,89.000000
gen=76,89.000000,89.000000,89.000000
gen=77,89.000000,89.000000,89.000000
gen=78,89.000000,89.000000,89.000000
gen=79,89.000000,90.000000,89.020000
gen=80,89.000000,90.000000,89.040000
gen=81,89.000000,90.000000,89.080000
gen=82,89.000000,90.000000,89.160000
gen=83,89.000000,90.000000,89.200000
gen=84,89.000000,90.000000,89.400000
gen=85,89.000000,90.000000,89.640000
gen=86,89.000000,90.000000,89.720000
gen=87,89.000000,90.000000,89.880000
gen=88,89.000000,90.000000,89.920000
gen=89,90.000000,90.000000,90.000000
gen=90,90.000000,90.000000,90.000000
gen=91,90.000000,90.000000,90.000000
gen=92,90.000000,90.000000,90.000000
